poste,lieu,entreprise,salaire,note,description
Data Centre Technicien en chef,Nozay,Salute Mission Critical - EMEA,Non renseigné,"3,4","*Leadership : *Inspire et motive l’équipe pour atteindre l’excellence opérationnelle et les objectifs organisationnels. Type d'emploi : Temps plein.&hellip;
Compétences: Français, Anglais, GMAO, Électricité, Équipement informatique"
Entreprise Architect Data – H/F,Levallois-Perret,BNP Paribas,Non renseigné,"3,8","Vous êtes à l’aise pour communiquer en anglais et en français à l’écrit et à l’oral. Vous êtes capable de gérer un sujet en mode projet.&hellip;
Compétences: Français, Anglais, Technologies de l'information"
Accelerator Data Science (Paris),Paris,Sanofi EU,Non renseigné,"4,0","Use data analysis, visualization, storytelling, and data technologies to scope, define and deliver AI-based data products.&hellip;
Compétences: Français, Anglais, Machine learning, NLP, Développement logiciel"
Administrateur.trice de données Finance - H/F,Courbevoie,Equans,Non renseigné,"3,7","EQUANS France s'engage à promouvoir la diversité, l'inclusion et à lutter contre toutes les formes de discriminations à l'accès à l'emploi, à la formation, à la…&hellip;"
Data Analyst IA - Valorisation des échanges clients (H/F),Strasbourg,EURO-INFORMATION DEVELOPPEMENTS,36 k € - 45 k € (fourni par l’employeur),"3,7","Être force de proposition, contribuer à l’innovation et conseiller les différents métiers sur les moyens de mesurer et d'améliorer l'expérience client grâce aux…&hellip;
Compétences: Service client, Esprit d'analyse, Python"
Tech lead Cloud Data Engineer F/H,Paris,Malakoff Humanis,50 k € - 90 k € (fourni par l’employeur),"4,3","Vous guidez l'équipe technique dans la réalisation des objectifs du projet. En votre qualité de relais entre l'équipe de développement et les autres parties…&hellip;
Compétences: AWS, Scala, Terraform, Agile, Redshift"
Architecte Data H/F,Mer,Crédit Agricole Titres,Non renseigné,"3,8","Il s’agira de proposer et d’optimiser les architectures de données en lien avec les projets. Connaissance des principales briques data des Cloud Provider…&hellip;
Compétences: Cognos, Power BI, Spark, Machine learning, Intelligence artificielle"
Consultant(e) Junior Data & IA,Paris,Adameo Internal Jobs,Non renseigné,"3,7",Nous recherchons des consultant.e.s Junior Data & IA (écoles d’ingénieur) ayant 1 à 3 ans d’expérience en cabinet et/ou en entreprise. Une première…&hellip;
Ingénieur·e Data Scientist Junior,Chalon,Groupe Galilé,Non renseigné,Non noté,"Monitoring & performance : Mettre en place des outils de suivi (type MLflow) pour observer l’évolution et la pertinence des modèles en production.&hellip;
Compétences: TensorFlow, NoSQL, Git, SQL, Docker"
Alternant Data analyst RH F/H,Courbevoie,Mersen,Non renseigné,"3,9","Maintenance de l’outil de Reporting intégré au SIRH SuccessFactors (SAP). Aisance en environnement international, maîtrise de l’anglais écrit comme oral.&hellip;
Compétences: Power BI, SAP SuccessFactors, Anglais, SQL, Administration de bases de données"
Data scientist / Chargé.e d'études modèle de microsimulation César F/H,Paris,CNAF,45 k € - 50 k € (fourni par l’employeur),"3,0","Reconstituer et analyser à partir des données du DRM les différentes assiettes de revenus mensuels (net social ou net fiscal) et les grandes composantes des…&hellip;
Compétences: Statistiques, Esprit d'analyse"
Data Engineers,Paris,IEA,Non renseigné,"4,0","Learn about our data warehouse ecosystem and contribute to projects that improve data access, validation, or reporting.&hellip;
Compétences: Français, Informatique, Modélisation de données, Azure, Microsoft SQL Server"
Data Analyst,Paris,WINSIDE TECHNOLOGY,Non renseigné,"4,8","Ce que l'on attend de toi. ➡️ Créer des schémas de bases de données pour faciliter l’analyse. ➡️ Identifier des tendances, des corrélations et des anomalies…&hellip;
Compétences: Power BI, Analyse de données, NoSQL, Anglais, SQL"
Ingénieur R&D modélisation et data junior,Champs,Centre Scientifique et Technique du Bâtiment (CSTB),36 k € - 40 k € (fourni par l’employeur),"3,9","Vous êtes de formation supérieure minimum Bac+5 type master ou ingénieur, spécialisé dans le domaine de l’énergétique du bâtiment et/ou de la physique du…&hellip;
Compétences: Anglais, Sens de l'organisation, Python"
Data Engineer H/F,Boulogne-Billancourt,MP DATA,30 k € - 63 k € (fourni par l’employeur),"4,3","Dans le cadre de la transformation digitale industriel, l’équipe de data engineering en charge de l’exploitation du Cluster Big Data cherche à se développer.&hellip;
Compétences: Big data, Spark, NoSQL, MongoDB, Java"
Data Analyst - Animation de la Performance Commerciale H/F,Paris,Caisse d'Epargne Ile de France,Non renseigné,"4,0","Être force de proposition et contribuer à l’amélioration des supports et études produits par le département. Issu(e) d’une formation supérieure de type Bac + 3…&hellip;
Compétences: Power BI, Oracle, Alteryx, Microsoft SQL Server, Bases de données"
Stage / alternance développeur / consultant DATA / IA,Paris,Aldecis,1 k € (fourni par l’employeur),Non noté,"Un outil technologique disruptif est en cours d'élaboration en interne via l'IA ainsi que d'autres langages informatiques récents.&hellip;
Compétences: Big data, Microsoft SQL Server, SQL, Python"
Chargé de Projets Data - (Environnement Agile et Performance qualitative) -H/F,Reims,Groupama Nord Est,37 k € (fourni par l’employeur),"3,7","Suivre l'avancement du projet, gérer les risques, contrôler la qualité des livrables et ajuster le plan si nécessaire. De plus, vous êtes organisé et autonome.&hellip;
Compétences: Bases de données, SQL, Agile"
Data Analyst,Neuilly,BLOOMAYS,45 k € - 50 k € (fourni par l’employeur),"4,4","Mon client est une ONG qui a été créée pour mobiliser tous ceux qui veulent aider le patrimoine rural et non protégé. Ils recherchent un(e) Data Analyste…&hellip;
Compétences: Logiciels de GRC/CRM, Power BI, Microsoft SQL Server, SQL"
Data Scientist - IA & Machine Learning (H/F),Vélizy,Nextgen RH,42 k € - 48 k € (fourni par l’employeur),"3,3","Excellente maîtrise de l’anglais (écrit et oral) - Niveau C1 à C2. Vous justifiez d'une première expérience, idéalement en stage ou apprentissage, dans un…&hellip;
Compétences: Anglais, Esprit d'analyse, NLP, Python"
Data Scientist - Alternance (F/H),Montigny,BMW,Non renseigné,"4,1","BMW Finance accompagne les particuliers et les professionnels dans leur achat de véhicules. Bonne maitrise des traitement liés à la data.&hellip;
Compétences: Tableau, SQL, Python"
EOS Quality Food Safety Data & Integration Expert F/M/X,Montpellier,Royal Canin S.A.S,Non renseigné,"4,3","Proven experience in data management, analysis, and reporting within manufacturing or food production environments. + 5 years’ experience in R&D / Q&FS roles.&hellip;
Compétences: Anglais, Sécurité alimentaire"
Data Engineer expert Snowflake (H/F),Wasquehal,Tape à l'oeil,50 k € - 60 k € (fourni par l’employeur),"3,6","Tape à l’Oeil s'engage en faveur de l'égalité des chances et de la diversité. Nous recherchons un.e Data Engineer Snowflake pour renforcer notre équipe DATA et…&hellip;
Compétences: Modélisation de données, Esprit d'analyse, Securité"
Consultant Senior - Data Analyst/Analytics Engineer - Marketing & Product F/H,Courbevoie,KPMG,Non renseigné,"3,7","Diplômé(e) à niveau Bac +5 d'une école d'ingénieur ou de toute autre formation technique (statistiques, mathématiques, informatique, Data/IA), avec une forte…&hellip;
Compétences: Power BI, Modélisation de données, Azure, Schémas, Service client"
Développeur(se) Expert(e) Data - Transport - Nantes,Nantes,Sopra Steria,Non renseigné,"3,6","Vous assurez l'encadrement technique de l'équipe de Data ingénieurs (donnez les directives nécessaires aux concepteurs / développeurs afin de garantir un…&hellip;
Compétences: Power BI, Azure, Ansible, Spark, SQL"
Alternant – Coordinateur Supply Amont & Data,Vert-le-Grand,Groupement Les Mousquetaires,Non renseigné,"3,7","Suivre la composition des stocks et de la dette fournisseur entrepôts en lien avec la direction et le contrôle de gestion, établir les projections sur l’année…&hellip;
Compétences: Power BI, Microsoft Access, Veille économique, Approvisionnement"
Alternance Data Engineer - H/F,Paris,Galileo Global Education France,Non renseigné,"2,9","Développer une approche data-driven pour l’analyse de données de notre Académie. Proposer des améliorations pour l'exploitation des données et les méthodes…&hellip;
Compétences: Power BI, Anglais, UX, Python"
Alternant coordinateur des données (F/H),Châtillon,ONERA,Non renseigné,"4,0","Dans le cadre de la mission stratégique « gouvernance des données » lancée en 2024, portée par la DIST, la direction des souffleries et le département DMPE, et…&hellip;"
Alternance - Data Scientist (H/F),Puteaux,Metaverse college,25 k € (fourni par l’employeur),"2,0","Concevoir et créer des tableaux de bord interactifs et des visualisations de données pour présenter les résultats et les tendances aux parties prenantes.&hellip;
Compétences: Bases de données, Esprit d'analyse"
Chef de Projet Data/Data Scientist (H/F),Champagne,Crédit Agricole Centre Est,Non renseigné,"3,8","Diplômé(e) minimum d’un Bac+5 en statistiques, data science ou informatique décisionnelle, vous justifiez de 6 ans d’expérience minimum sur un poste similaire,…&hellip;
Compétences: Modélisation de données, SAS, Analyse de données, SQL"
Data analyst H/F/X,France,Société Générale,Non renseigné,"3,6","Sous la supervision du responsable du service « Budget IT », le Data Analyst aura pour objectif d’accompagner les membres de l’équipe (Chargé de pilotage plan…&hellip;
Compétences: Power BI, Analyse de données, Compétences en communication"
Data Engineer / Développeur IA en alternance H/F,Toulouse,ECE,Non renseigné,Non noté,"En effet, l’ECE, créée en 1919, s’est imposée comme la Grande Ecole d’Ingénieurs référente dans le numérique, la data et l’IA.&hellip;
Compétences: Java, Bases de données, Python"
1 Chargé d'études statistiques et Data Analyst (H/F),Paris,CPAM DES YVELINES,3 k € (fourni par l’employeur),"3,5","Être en appui de l'équipe projet dans les travaux de reporting, de pilotage et de valorisation des données. Assurer la structuration statistique des outils de…&hellip;
Compétences: Statistiques, Compétences rédactionnelles, Esprit d'analyse, Sens de l'organisation, Bureautique"
Consultant junior Data & Analytics (H/F),Courbevoie,BearingPoint France,Non renseigné,"3,7","Pilotage de projets de transformation data. Diagnostic de maturité data et élaboration du portefeuille de cas d’usage.&hellip;
Compétences: Anglais"
Conseiller numérique DATA H/F,Créteil,CCI Paris Ile-de-France,3 k € (fourni par l’employeur),"3,1","Concevoir et réaliser des stratégies digitales360° adaptées aux besoins spécifiques de chaque entreprise en fournissant des plans d'action concrets.&hellip;
Compétences: SEO, Intelligence artificielle"
Data scientist,Puteaux,Swiss Life,Non renseigné,"3,8","Vous avez connu une expérience similaire sur l'usage de l'Intelligence Artificielle Générative et plus précisément l'utilisation de techniques de RAG (LLM,…&hellip;
Compétences: Anglais, S3, Python"
Data Engineer - H/F,Ivry,E.Leclerc,Non renseigné,"3,4","En tant que Data Engineer, tu seras un pilier de notre écosystème data, au coeur de l'équipe Data Engineering. Une start up au coeur du Mouvement !&hellip;
Compétences: Google Cloud Platform, SQL"
Data analyst H/F,Levallois-Perret,HAUTS-DE-SEINE HABITAT,Non renseigné,"3,2","Diplômé d'un BAC+5 en statistique, data mining, data science ou big data, vous justifiez d’une expérience significative sur un poste similaire, vous ayant…&hellip;
Compétences: R, SQL, Python"
Gestionnaire de données H/F (MRF),Paris,RATP EPIC,Non renseigné,"3,8","BTS assistance technique d'ingénieur (ATI). Une expérience sur des domaines de management de la donnée, des processus et de la gestion des référentiels serait…&hellip;
Compétences: Modélisation de données, Maximo, GMAO, SQL, Sens de l'organisation"
DATA ENGINEER – TOTALENERGIES DIGITAL FACTORY,Paris,TotalEnergies,Non renseigné,"3,9","Pour ce faire elle allie l'agilité et l'esprit pionnier d'une entreprise technologique à la robustesse et à la rigueur d'une entité de production à grande…&hellip;
Compétences: Azure, Bases de données relationnelles, Spark, SQL, Python"
Product Manager Cloud Data Plateform Groupe F/H,Paris,BPCE SA,Non renseigné,"4,0","Participation aux réflexions autour de l'évolution de l’écosystème Data du Groupe,. Intégration dans l’équipe des PO Asset Data & IA et dans les équipes projets…&hellip;
Compétences: SAFe, Google Cloud Platform, Gestion des risques, Hadoop"
ALTERNANT.E - ACHATS & Data Analyst,Saint-Maurice,Veolia,Non renseigné,"3,9","Participer à l'élaboration des reportings et KPIs (indicateurs) Achats. Des opportunités d’évolution au sein de Veolia Water Technologies et plus largement au…&hellip;
Compétences: Google Suite, Anglais, Bureautique"
