poste,lieu,entreprise,salaire,note,description
Data Domain Lead - Finance F/M/X,Gignac,Royal Canin S.A.S,Non renseigné,"4,3","Vous avez de 5 à 7 ans d’expérience en data management, data engineering ou fonctions similaires, idéalement dans un domaine métier (Finance, Supply Chain…).&hellip;
Compétences: CI/CD, Power BI, Modélisation de données, Azure, Big data"
Responsable Qualité et Gouvernance des Données - S2 H/F,Paris,UMG groupe VYV,Non renseigné,"3,6","Diplômé(e) d’un Bac+5 (école d’ingénieur, master 2 SI, assurance ou data), expérience confirmée d'au moins 5 ans sur des projets règlementaires (Solvabilité 2,…&hellip;
Compétences: Gouvernance de l'information, Informatica"
Artificial Intelligence Data Architect M/F,Créteil,Valeo,Non renseigné,"3,9","Design robust and sustainable data and AI architectures aligned with data management strategies and industrialization goals.&hellip;
Compétences: Azure, Anglais, Google Cloud Platform, Intelligence artificielle, Leadership"
Data Scientist - Entrepreneur à Résidence (EIR),Télétravail,MULTI Ventures,Non renseigné,"5,0","Vous pourrez participer à un projet à l’état de l’art en IA, tout en continuant à exercer votre activité principale. Possédez-vous un diplôme d’ingénieur ?&hellip;"
Chef de projet Data - data factory h/f (H/F),Nantes,EURO-INFORMATION DEVELOPPEMENTS,40 k € - 60 k € (fourni par l’employeur),"3,7","Au sein de vos projets et au-delà, vous portez l’acculturation Data au sein du groupe. De formation école d’ingénieur ou universitaire de préférence en…&hellip;
Compétences: Service client, Anglais, SQL, Esprit d'analyse, Python"
Ingénieur DATA/BI H/F,Lyon,Hays France,Non renseigné,"3,5","Assurer une veille technique continue et proposer des améliorations technologiques sur les sujets data,. Conseiller et accompagner les différents métiers dans…&hellip;
Compétences: Power BI, Veille économique, Microsoft SQL Server, Bases de données"
Responsable data H/F,Dachstein,SERMES S.A.,Non renseigné,"3,9","Former et accompagner les utilisateurs aux outils d’informatique décisionnelle (BI) et à l’utilisation de ces outils en autonomie.&hellip;
Compétences: Power BI, Tableau, SQL, Python"
Delivery Lead Data F/H (DSI/FAB),Paris,RATP EPIC,Non renseigné,"3,8","Elle assure les études avant-projet, la réalisation des projets, puis la maintenance ainsi que l’exploitation de l’ensemble des projets Data (Big Data,, IA,…&hellip;
Compétences: Power BI, Gestion de programme, Agile"
Data Architect (H/F),Nantes,EURO-INFORMATION DEVELOPPEMENTS,35 k € - 50 k € (fourni par l’employeur),"3,7","Ils coordonnent et mutualisent les énergies sur les projets Data comme dans le cadre de la Gouvernance et de l’administration des données.&hellip;
Compétences: Anglais, SQL, Linux, SAP BusinessObjects"
Data Analyste H/F,Montrouge,kodemade,33 k € - 42 k € (fourni par l’employeur),"3,0","Nous contribuons tous les jours à transformer la data de nos clients en impact business, que ce soit des projets IA, du Conseil en Stratégie Data, Conception de…&hellip;
Compétences: Microsoft SQL Server, Bases de données, SQL"
Data Domain Lead,Aimargues,Royal Canin S.A.S,Non renseigné,"4,3","Vous avez de 5 à 7 ans d’expérience en data management, data engineering ou fonctions similaires, idéalement dans un domaine métier (Finance, Supply Chain…).&hellip;
Compétences: CI/CD, Power BI, Modélisation de données, Azure, Big data"
Alternance - Data Analyst,Le Bourget,Ironhack,22 k € - 27 k € (fourni par l’employeur),"3,5","Intervenir sur l'extraction, la construction, le traitement, la visualisation, l'analyse et l'exploitation des données (tableau de bord, reporting) via des…&hellip;
Compétences: Français, SAS, Compétences rédactionnelles, Analyse de données, Anglais"
Data Analyst H/F,Alfortville,Nikito,2 k € (fourni par l’employeur),"4,0","Si vous êtes passionné(e) par l'analyse de données et souhaitez contribuer à notre succès, nous serions ravis de recevoir votre candidature.&hellip;
Compétences: Power BI, Analyse de données, Tableau, SQL, Esprit d'analyse"
Alternance - Data Analyst Financier H/F,Metz,UEM,Non renseigné,"4,5","Autonome et rigoureux, vous disposez également de bonnes compétences relationnelles et savez être force de proposition. Alternance - Data Analyst Financier H/F.&hellip;
Compétences: Python"
Apprenti Ingénieur Data Analyst (H/F/X),Corbeil-Essonnes,X-FAB France SAS,Non renseigné,"3,7","Rejoignez une entreprise de pointe dans le domaine des semi-conducteurs, en tant qu’apprenti(e) Ingénieur Data Analyst au sein de l’organisation Digital…&hellip;
Compétences: Français, Power BI, Anglais, Microsoft Office, SQL"
ALTERNANCE GESTIONNAIRE DE DONNEES TECHNIQUES - H/F,Lyon,NaTran,Non renseigné,"4,4","Vous allez travailler autour du concept de ONE-PLM (Product Lifecycle Management) qui permet de gérer le cycle de vie de nos ouvrages, de leur création à leur…&hellip;
Compétences: GMAO"
Expert Base de données PostgreSQL F/H,Niort,Maif,40 k € - 50 k € (fourni par l’employeur),"4,0","Un vaste choix de contextes et de projets, qui permet d’aborder des sujets différents, tant sur le plan technique que fonctionnel.&hellip;
Compétences: Oracle, Ansible, NoSQL, Bases de données, SQL"
Alternance - Data Ingénieur (F/H),Montreuil,URSSAF CAISSE NATIONALE,Non renseigné,"3,5","Au sein de l'équipe « Décisionnel et Big Data » composée de chefs de projet, business analyst, data analyst, data ingénieurs et techlead, vous aurez le rôle de…&hellip;
Compétences: Git, SQL, Jenkins, Python"
Stagiaire en DATA et IA ( Janvier/mai 2026),Paris,DoWellDoGood,1 k € - 2 k € (fourni par l’employeur),"3,4","Collaboration avec l'équipe BI: Vous travaillerez en étroite collaboration avec notre équipe Business Intelligence et nos ingénieurs pour comprendre les besoins…&hellip;
Compétences: Anglais, Bases de données, SQL, Python"
Data Scientist H/F,Les Lilas,Growth Lab,36 k € - 81 k € (fourni par l’employeur),Non noté,"Minimum 2 ans d’expérience en data science ou machine learning dans un environnement technique exigeant. Bonne culture des LLM, outils open-source (Hugging Face…&hellip;
Compétences: TensorFlow, Machine learning, NLP, GitHub, Python"
Junior Data Consultant,Paris,Artefact,Non renseigné,"4,1","Nous offrons une large gamme de solutions data-driven, que nous adaptions aux besoins spécifiques de nos clients, que ce soit des projets IA pour…&hellip;
Compétences: Intelligence artificielle"
